model,scenario_id,phase,description,dataset_rows,workload,concurrency,total_requests,workers,queue_size,driver,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,throughput_rps_mean,throughput_rps_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,p99_ms_mean,p99_ms_stddev,max_ms_mean,max_ms_stddev,cpu_util_percent_mean,cpu_util_percent_stddev,max_rss_kb_mean,max_rss_kb_stddev,voluntary_ctx_mean,involuntary_ctx_mean
thread_pool,async_100000_mixed_c2000,async,"100,000 rows, mixed, async burst 2000",100000,mixed,2000,2000,8,512,async,10,544.200,34.315,1455.800,34.315,0.000,0.000,853.499,685.473,189.957,14.873,305.621,245.156,618.860,407.332,852.009,323.642,16.589,9.029,6375014.400,37401.163,1238.700,1447.400
thread_pool,async_100000_mixed_c5000,async,"100,000 rows, mixed, async burst 5000",100000,mixed,5000,5000,8,512,async,10,551.200,25.046,4448.800,25.046,0.000,0.000,596.458,124.368,502.067,27.189,632.140,32.907,741.384,181.585,926.072,165.474,16.704,2.761,6353715.200,31656.896,3270.600,1816.700
thread_pool,expanded_100k_mixed_c1024,expanded,"100k rows, mixed, burst concurrency 1024",100000,mixed,1024,1024,8,512,thread,10,1024.000,0.000,0.000,0.000,0.000,0.000,4745.456,367.590,2.323,0.356,4.818,2.834,8.774,6.162,12.479,6.766,47.638,1.567,6363545.600,32949.542,2811.100,2024.800
thread_pool,expanded_10k_mixed_c128,expanded,"10k rows, mixed, steady concurrency 128",10000,mixed,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5069.998,685.063,4.285,2.686,11.355,9.616,14.919,10.139,17.856,10.311,22.408,3.027,2246246.400,18030.673,1058.000,536.900
thread_pool,expanded_1m_mixed_c1024,expanded,"1M rows, mixed, burst concurrency 1024",1000000,mixed,1024,1024,8,512,thread,10,1024.000,0.000,0.000,0.000,0.000,0.000,4810.674,232.144,2.272,0.190,3.830,0.541,6.230,3.631,9.914,6.594,82.171,0.911,46114406.400,19231.339,2834.300,2919.000
thread_pool,expanded_1m_mixed_c128,expanded,"1M rows, mixed, steady concurrency 128",1000000,mixed,128,512,8,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5007.819,405.850,3.954,1.801,9.697,6.143,12.330,6.927,15.396,7.235,85.830,0.631,46106214.400,32263.494,1267.100,1658.500
thread_pool,quick_100k_insert-only_c1,quick,"100k rows, insert-only, concurrency 1",100000,insert-only,1,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4153.301,203.574,0.235,0.011,0.388,0.045,0.664,0.196,3.234,1.140,44.617,1.017,6222643.200,21570.538,887.500,841.800
thread_pool,quick_100k_insert-only_c128,quick,"100k rows, insert-only, concurrency 128",100000,insert-only,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5173.020,455.213,3.819,0.965,9.186,3.081,11.348,3.927,13.597,4.463,48.881,1.310,6230835.200,18997.278,1028.900,638.900
thread_pool,quick_100k_insert-only_c32,quick,"100k rows, insert-only, concurrency 32",100000,insert-only,32,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5347.371,791.395,5.075,0.627,8.982,2.485,12.764,8.852,16.131,11.403,49.325,2.645,6243942.400,27251.999,825.600,711.200
thread_pool,quick_100k_insert-only_c512,quick,"100k rows, insert-only, burst concurrency 512",100000,insert-only,512,512,8,512,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4863.162,339.576,2.227,0.102,3.741,0.452,5.123,1.183,6.350,1.573,50.958,1.106,6345523.200,20507.288,1401.500,1084.300
thread_pool,quick_100k_mixed_c1,quick,"100k rows, mixed, concurrency 1",100000,mixed,1,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4642.480,495.653,0.212,0.024,0.337,0.044,0.563,0.288,7.078,6.121,42.735,2.066,6204620.800,17356.389,887.300,757.900
thread_pool,quick_100k_mixed_c128,quick,"100k rows, mixed, concurrency 128",100000,mixed,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5331.313,352.061,3.224,0.159,7.249,0.702,9.062,1.255,11.375,1.544,47.247,2.061,6225920.000,18918.614,1085.700,558.300
thread_pool,quick_100k_mixed_c32,quick,"100k rows, mixed, concurrency 32",100000,mixed,32,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5335.469,718.265,5.296,0.910,12.453,6.873,15.641,8.331,18.729,9.298,45.668,1.147,6230835.200,23234.748,849.100,547.000
thread_pool,quick_100k_mixed_c512,quick,"100k rows, mixed, burst concurrency 512",100000,mixed,512,512,8,512,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4832.596,450.021,2.268,0.212,4.072,1.006,6.013,3.045,7.811,3.552,47.054,1.286,6340608.000,29912.955,1407.400,1038.700
thread_pool,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4622.529,225.228,0.211,0.011,0.317,0.019,0.661,0.277,2.890,0.800,38.945,1.519,6111232.000,25615.924,717.800,913.200
thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4520.533,323.439,4.414,0.425,9.994,1.696,12.787,2.553,16.170,3.178,39.825,0.915,6127616.000,13377.480,953.000,459.900
thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5168.735,328.823,5.313,0.376,9.343,1.590,11.237,2.302,13.583,3.456,41.753,1.156,6137446.400,22116.714,843.100,519.700
thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4131.137,211.313,2.808,0.224,5.288,0.575,7.078,1.505,9.129,2.704,41.569,1.254,6273433.600,28325.320,1334.100,848.100
