dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
100000,4,512,mixed,10000,10,516.000,0.000,9484.000,0.000,0.000,0.000,1311.721,59.072,1007.892,50.121,1268.251,57.487,1291.939,58.800
100000,8,512,mixed,10000,10,520.000,0.000,9480.000,0.000,0.000,0.000,1264.298,23.221,976.444,14.379,1220.482,21.947,1251.108,20.176
100000,16,512,mixed,10000,10,528.000,0.000,9472.000,0.000,0.000,0.000,1251.996,8.097,967.673,6.486,1209.274,8.008,1240.461,8.059
1000000,4,512,mixed,10000,10,516.000,0.000,9484.000,0.000,0.000,0.000,1251.928,104.485,978.103,102.346,1211.811,103.004,1240.560,104.132
1000000,8,512,mixed,10000,10,520.000,0.000,9480.000,0.000,0.000,0.000,1245.362,43.402,964.545,32.962,1203.517,41.447,1233.849,43.130
1000000,16,512,mixed,10000,10,528.000,0.000,9472.000,0.000,0.000,0.000,1262.524,7.243,976.785,7.304,1218.437,7.740,1250.938,7.049
