repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms
3,100000,16,512,mixed,1024,1024,0,0,252.270,5.052,24.542,40.453
4,100000,16,512,mixed,1024,1024,0,0,202.570,2.238,3.414,5.496
5,100000,16,512,mixed,1024,1024,0,0,215.144,8.576,38.778,51.368
6,100000,16,512,mixed,1024,1024,0,0,220.100,2.389,4.143,9.039
7,100000,16,512,mixed,1024,1024,0,0,179.198,1.930,3.047,6.708
8,100000,16,512,mixed,1024,1024,0,0,175.730,1.930,2.985,5.240
9,100000,16,512,mixed,1024,1024,0,0,180.395,1.934,2.996,4.258
10,100000,16,512,mixed,1024,1024,0,0,191.505,2.088,3.234,7.173
1,1000000,8,128,mixed,512,512,0,0,97.060,2.283,3.813,6.392
2,1000000,8,128,mixed,512,512,0,0,90.049,2.238,3.494,4.735
3,1000000,8,128,mixed,512,512,0,0,90.825,2.173,3.245,5.216
4,1000000,8,128,mixed,512,419,0,93,94.325,17.427,41.298,48.756
5,1000000,8,128,mixed,512,512,0,0,88.713,2.343,4.237,6.412
6,1000000,8,128,mixed,512,512,0,0,104.927,2.208,3.505,6.144
7,1000000,8,128,mixed,512,512,0,0,88.079,1.929,2.974,4.315
8,1000000,8,128,mixed,512,512,0,0,87.696,1.895,2.795,3.936
9,1000000,8,128,mixed,512,512,0,0,90.924,2.163,3.657,6.110
10,1000000,8,128,mixed,512,512,0,0,114.004,2.269,4.857,12.969
1,1000000,8,512,mixed,512,512,0,0,95.869,2.023,3.164,4.928
2,1000000,8,512,mixed,512,512,0,0,107.044,20.537,49.159,57.779
3,1000000,8,512,mixed,512,512,0,0,139.153,3.657,8.291,12.781
4,1000000,8,512,mixed,512,512,0,0,89.696,2.349,5.547,8.202
5,1000000,8,512,mixed,512,512,0,0,89.057,2.216,3.595,6.121
6,1000000,8,512,mixed,512,512,0,0,87.548,2.025,3.060,4.364
7,1000000,8,512,mixed,512,512,0,0,97.380,2.237,3.704,5.680
8,1000000,8,512,mixed,512,512,0,0,84.188,1.807,2.675,3.680
9,1000000,8,512,mixed,512,512,0,0,133.920,3.137,7.932,16.193
10,1000000,8,512,mixed,512,512,0,0,89.162,7.929,20.782,26.369
1,1000000,16,128,mixed,512,512,0,0,83.779,1.848,2.768,3.742
2,1000000,16,128,mixed,512,512,0,0,81.144,1.790,2.832,3.728
3,1000000,16,128,mixed,512,512,0,0,79.613,2.947,8.921,14.150
4,1000000,16,128,mixed,512,512,0,0,79.640,1.792,2.769,3.956
5,1000000,16,128,mixed,512,512,0,0,85.069,1.897,3.076,5.873
6,1000000,16,128,mixed,512,512,0,0,80.450,1.746,2.673,4.037
7,1000000,16,128,mixed,512,512,0,0,87.240,2.042,3.158,4.694
8,1000000,16,128,mixed,512,512,0,0,98.268,2.212,4.028,8.273
9,1000000,16,128,mixed,512,512,0,0,84.802,3.216,10.211,13.516
10,1000000,16,128,mixed,512,512,0,0,84.477,2.104,3.896,4.951
1,1000000,16,512,mixed,512,512,0,0,148.774,3.400,7.890,20.695
2,1000000,16,512,mixed,512,512,0,0,88.538,2.039,3.117,4.667
3,1000000,16,512,mixed,512,512,0,0,121.531,10.402,41.968,43.719
4,1000000,16,512,mixed,512,512,0,0,93.123,2.350,5.531,9.352
5,1000000,16,512,mixed,512,512,0,0,103.538,2.142,3.502,8.008
6,1000000,16,512,mixed,512,512,0,0,97.989,2.151,3.509,4.735
7,1000000,16,512,mixed,512,512,0,0,101.435,2.359,3.965,10.936
8,1000000,16,512,mixed,512,512,0,0,99.742,2.057,3.182,4.366
9,1000000,16,512,mixed,512,512,0,0,96.490,2.838,6.695,9.588
10,1000000,16,512,mixed,512,512,0,0,115.207,3.016,5.660,7.970
1,1000000,8,128,mixed,1024,1024,0,0,189.120,2.074,3.338,6.662
2,1000000,8,128,mixed,1024,1024,0,0,203.804,2.523,5.395,12.877
3,1000000,8,128,mixed,1024,1024,0,0,192.076,2.060,3.203,6.398
4,1000000,8,128,mixed,1024,1024,0,0,186.052,2.042,3.326,6.582
5,1000000,8,128,mixed,1024,1024,0,0,197.145,2.412,4.093,14.026
6,1000000,8,128,mixed,1024,1024,0,0,196.512,2.125,3.451,4.791
7,1000000,8,128,mixed,1024,1024,0,0,268.040,4.760,15.901,38.353
8,1000000,8,128,mixed,1024,1024,0,0,188.441,2.003,3.133,8.066
9,1000000,8,128,mixed,1024,1024,0,0,168.272,1.861,2.866,6.255
10,1000000,8,128,mixed,1024,1024,0,0,160.290,1.742,2.756,4.209
1,1000000,8,512,mixed,1024,1024,0,0,198.201,2.058,3.825,12.514
2,1000000,8,512,mixed,1024,1024,0,0,175.841,1.977,3.122,4.674
3,1000000,8,512,mixed,1024,1024,0,0,180.509,1.976,3.200,4.615
4,1000000,8,512,mixed,1024,1024,0,0,182.909,2.869,10.487,18.754
5,1000000,8,512,mixed,1024,1024,0,0,172.371,2.087,3.905,7.235
6,1000000,8,512,mixed,1024,1024,0,0,168.874,1.847,2.822,3.644
7,1000000,8,512,mixed,1024,1024,0,0,157.122,2.277,6.400,10.977
