dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
100000,4,512,mixed,20000,10,516.000,0.000,15836.400,4.169,3647.600,4.169,12288.929,1991.959,9629.291,1614.904,12154.443,1989.085,12263.255,1988.161
100000,8,512,mixed,20000,10,520.000,0.000,15828.000,1.414,3652.000,1.414,9159.729,624.205,7101.171,511.474,9031.808,627.498,9132.495,620.217
100000,16,512,mixed,20000,10,528.000,0.000,15821.700,2.983,3650.300,2.983,13259.184,2310.919,10410.654,1887.212,13123.928,2307.349,13229.402,2316.258
1000000,4,512,mixed,20000,10,516.000,0.000,15838.000,1.826,3646.000,1.826,14266.599,322.569,11232.658,263.935,14130.373,321.911,14234.652,324.687
1000000,8,512,mixed,20000,10,520.000,0.000,15834.600,2.459,3645.400,2.459,14499.971,625.285,11408.876,506.605,14360.810,624.011,14471.317,626.519
1000000,16,512,mixed,20000,10,528.000,0.000,15827.200,1.317,3644.800,1.317,14509.062,835.992,11432.448,681.669,14369.755,837.097,14481.393,834.244
