repeat_index,model,scenario_id,phase,description,dataset_rows,workload,concurrency,total_requests,workers,queue_size,driver,success_requests,rejected_requests,error_requests,throughput_rps,avg_ms,p95_ms,p99_ms,max_ms,real_seconds,user_seconds,sys_seconds,cpu_util_percent,max_rss_kb,voluntary_ctx,involuntary_ctx
4,thread_per_request,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4648.288,0.209,0.297,0.443,2.146,0.310,0.110,0.020,41.935,6094848.0,574.0,776.0
5,thread_per_request,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4596.346,0.212,0.301,0.340,4.711,0.320,0.100,0.020,37.500,6094848.0,571.0,835.0
6,thread_per_request,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,3846.605,0.253,0.519,1.471,4.857,0.340,0.100,0.020,35.294,6094848.0,598.0,936.0
7,thread_per_request,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4117.520,0.236,0.407,0.831,2.395,0.330,0.100,0.030,39.394,6062080.0,581.0,1044.0
8,thread_per_request,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4615.215,0.210,0.311,0.388,2.046,0.330,0.110,0.020,39.394,6094848.0,574.0,900.0
9,thread_per_request,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4182.602,0.233,0.372,0.802,2.463,0.320,0.100,0.020,37.500,6078464.0,585.0,922.0
10,thread_per_request,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,512,0,0,4001.280,0.243,0.379,0.795,2.356,0.330,0.100,0.030,39.394,6094848.0,595.0,911.0
1,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4755.889,5.859,11.306,17.767,21.329,0.320,0.110,0.010,37.500,6078464.0,127.0,362.0
2,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5240.356,5.425,8.049,9.402,11.020,0.310,0.110,0.010,38.710,6045696.0,115.0,265.0
3,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4503.136,6.443,12.053,21.392,27.544,0.320,0.100,0.010,34.375,6045696.0,106.0,241.0
4,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5166.442,5.325,8.183,9.456,12.606,0.310,0.100,0.020,38.710,6078464.0,111.0,242.0
5,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5297.136,5.264,7.963,9.089,10.153,0.310,0.110,0.010,38.710,6029312.0,118.0,241.0
6,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4824.458,5.928,10.682,13.293,16.685,0.320,0.110,0.010,37.500,6078464.0,106.0,278.0
7,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5310.939,5.233,8.119,9.542,10.355,0.300,0.100,0.010,36.667,6078464.0,130.0,210.0
8,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4974.939,5.750,9.539,11.645,13.300,0.310,0.110,0.010,38.710,6062080.0,100.0,263.0
9,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4546.504,6.084,12.036,15.767,19.537,0.310,0.100,0.010,35.484,6062080.0,98.0,210.0
10,serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4897.323,5.813,9.006,12.238,15.924,0.310,0.100,0.020,38.710,6045696.0,110.0,367.0
1,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5080.054,5.245,9.952,11.634,12.229,0.310,0.110,0.020,41.935,6160384.0,841.0,481.0
2,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4530.557,6.116,12.566,15.876,18.652,0.310,0.100,0.020,38.710,6111232.0,798.0,656.0
3,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5369.404,5.118,8.132,9.529,11.016,0.310,0.110,0.020,41.935,6127616.0,842.0,532.0
4,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5366.595,5.110,8.152,10.229,12.801,0.310,0.110,0.020,41.935,6160384.0,856.0,441.0
5,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5524.087,5.119,8.440,9.345,11.988,0.300,0.110,0.020,43.333,6160384.0,842.0,440.0
6,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5451.808,4.848,8.145,9.760,10.996,0.310,0.110,0.020,41.935,6144000.0,877.0,598.0
7,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4675.191,5.817,11.752,14.950,21.200,0.310,0.110,0.020,41.935,6094848.0,840.0,553.0
8,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5236.307,5.257,8.747,10.499,12.342,0.310,0.110,0.020,41.935,6127616.0,840.0,573.0
9,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5319.669,5.142,8.631,10.017,11.728,0.310,0.110,0.020,41.935,6144000.0,863.0,481.0
10,thread_pool,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5133.679,5.358,8.916,10.530,12.879,0.310,0.110,0.020,41.935,6144000.0,832.0,442.0
1,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4552.863,5.922,12.378,18.081,23.004,0.320,0.110,0.040,46.875,6733824.0,1349.0,1217.0
2,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4492.108,6.100,11.267,14.051,16.701,0.320,0.110,0.040,46.875,6750208.0,1371.0,1185.0
3,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5078.462,5.291,9.753,12.033,17.796,0.320,0.110,0.040,46.875,6766592.0,1384.0,1152.0
4,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4501.077,6.171,13.036,17.970,27.514,0.320,0.110,0.040,46.875,6750208.0,1340.0,1244.0
5,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4897.702,5.560,10.524,12.346,13.285,0.320,0.110,0.040,46.875,6766592.0,1408.0,1130.0
6,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4833.010,5.457,9.806,12.531,14.513,0.310,0.110,0.040,48.387,6733824.0,1410.0,1140.0
7,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4333.069,6.257,13.292,18.692,25.906,0.320,0.110,0.040,46.875,6733824.0,1292.0,1395.0
8,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4523.912,5.849,12.356,15.970,21.509,0.330,0.110,0.040,45.455,6733824.0,1337.0,1319.0
9,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,5033.355,5.299,9.745,11.445,15.518,0.320,0.110,0.040,46.875,6782976.0,1371.0,1199.0
10,thread_per_request,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,512,0,0,4944.778,5.413,9.575,11.304,16.125,0.320,0.120,0.040,50.000,6782976.0,1405.0,1124.0
1,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4236.019,6.175,11.647,14.467,15.334,0.320,0.100,0.020,37.500,6045696.0,134.0,259.0
2,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4819.721,5.098,11.070,12.811,14.224,0.320,0.110,0.010,37.500,6062080.0,145.0,238.0
3,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4750.243,4.527,8.234,10.546,12.379,0.320,0.110,0.020,40.625,6062080.0,153.0,271.0
4,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4209.988,5.329,11.004,13.149,16.164,0.320,0.100,0.010,34.375,6029312.0,152.0,289.0
5,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4453.730,6.591,14.684,18.864,23.226,0.320,0.100,0.020,37.500,6029312.0,108.0,291.0
6,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4846.529,6.007,11.717,13.475,14.481,0.320,0.100,0.010,34.375,6062080.0,115.0,239.0
7,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4628.078,5.374,10.707,13.527,16.335,0.320,0.110,0.010,37.500,6062080.0,135.0,199.0
8,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4035.113,5.244,10.002,11.672,14.018,0.330,0.100,0.020,36.364,6045696.0,138.0,289.0
9,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4492.088,5.566,12.305,15.118,16.028,0.320,0.110,0.020,40.625,6078464.0,144.0,203.0
10,serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4908.805,5.340,9.598,11.584,14.838,0.320,0.100,0.010,34.375,6029312.0,118.0,182.0
1,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4268.116,4.592,9.201,11.893,14.661,0.320,0.110,0.020,40.625,6144000.0,935.0,436.0
2,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4241.541,4.796,10.535,12.880,16.626,0.320,0.110,0.020,40.625,6127616.0,928.0,518.0
3,thread_pool,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,512,0,0,4581.813,4.050,8.898,11.315,15.379,0.320,0.110,0.020,40.625,6127616.0,972.0,417.0
