dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
100000,16,512,mixed,2000,10,528.000,0.000,1472.000,0.000,0.000,0.000,215.885,46.159,165.843,39.350,208.343,45.673,212.141,45.844
100000,16,512,mixed,5000,10,528.000,0.000,4472.000,0.000,0.000,0.000,618.042,81.830,461.941,54.264,598.204,82.051,611.183,81.497
100000,16,512,mixed,10000,10,528.000,0.000,9472.000,0.000,0.000,0.000,1310.812,12.967,998.972,12.367,1265.080,13.982,1293.143,15.625
100000,16,512,mixed,20000,10,528.000,0.000,15822.900,4.795,3649.100,4.795,15176.364,1627.875,11962.158,1319.681,15034.208,1629.972,15143.698,1624.368
1000000,16,512,mixed,2000,10,528.000,0.000,1472.000,0.000,0.000,0.000,216.924,12.848,165.325,11.149,208.835,13.023,212.925,13.048
1000000,16,512,mixed,5000,10,528.000,0.000,4472.000,0.000,0.000,0.000,587.614,13.532,451.889,13.249,566.092,14.718,578.765,12.697
1000000,16,512,mixed,10000,10,528.000,0.000,9472.000,0.000,0.000,0.000,1315.433,66.932,1016.818,64.387,1271.740,67.644,1303.378,66.978
1000000,16,512,mixed,20000,10,528.000,0.000,15816.100,4.332,3655.900,4.332,11137.642,2864.646,8700.598,2311.544,11005.530,2863.583,11107.700,2856.574
