repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
5,100000,8,64,mixed,2000,72,1928,0,206.966,156.576,193.184,204.893,{}
6,100000,8,64,mixed,2000,72,1928,0,207.595,161.054,194.977,205.228,{}
7,100000,8,64,mixed,2000,72,1928,0,256.285,185.340,241.501,254.157,{}
8,100000,8,64,mixed,2000,72,1928,0,276.053,214.150,245.420,273.548,{}
9,100000,8,64,mixed,2000,72,1928,0,215.652,167.751,202.019,213.375,{}
10,100000,8,64,mixed,2000,72,1928,0,180.474,136.887,168.308,178.173,{}
1,100000,8,128,mixed,2000,136,1864,0,204.480,157.831,197.311,202.393,{}
2,100000,8,128,mixed,2000,136,1864,0,197.297,150.885,189.849,194.660,{}
3,100000,8,128,mixed,2000,136,1864,0,201.870,155.906,195.519,199.737,{}
4,100000,8,128,mixed,2000,136,1864,0,197.111,151.989,190.732,194.941,{}
5,100000,8,128,mixed,2000,136,1864,0,190.925,147.942,184.346,188.711,{}
6,100000,8,128,mixed,2000,136,1864,0,183.561,138.273,177.370,181.023,{}
7,100000,8,128,mixed,2000,136,1864,0,190.199,144.012,183.482,188.177,{}
8,100000,8,128,mixed,2000,136,1864,0,200.892,153.538,193.516,198.616,{}
9,100000,8,128,mixed,2000,136,1864,0,204.949,155.868,197.776,202.737,{}
10,100000,8,128,mixed,2000,136,1864,0,209.986,160.354,202.400,207.793,{}
1,100000,8,256,mixed,2000,264,1736,0,202.993,158.618,195.795,200.432,{}
2,100000,8,256,mixed,2000,264,1736,0,187.042,134.085,169.273,184.216,{}
3,100000,8,256,mixed,2000,264,1736,0,214.783,158.419,207.699,212.154,{}
4,100000,8,256,mixed,2000,264,1736,0,191.139,145.084,183.908,187.746,{}
5,100000,8,256,mixed,2000,264,1736,0,213.429,159.087,205.412,210.719,{}
6,100000,8,256,mixed,2000,264,1736,0,243.525,180.339,235.503,240.760,{}
7,100000,8,256,mixed,2000,264,1736,0,215.144,165.744,207.056,212.276,{}
8,100000,8,256,mixed,2000,264,1736,0,212.239,161.259,204.273,209.064,{}
9,100000,8,256,mixed,2000,264,1736,0,216.990,165.263,208.506,214.267,{}
10,100000,8,256,mixed,2000,264,1736,0,213.604,166.817,206.464,210.853,{}
1,100000,8,512,mixed,2000,520,1480,0,211.877,158.476,203.780,208.091,{}
2,100000,8,512,mixed,2000,520,1480,0,227.646,173.022,219.530,223.884,{}
3,100000,8,512,mixed,2000,520,1480,0,224.604,174.012,216.046,221.151,{}
4,100000,8,512,mixed,2000,520,1480,0,211.851,160.665,203.721,207.691,{}
5,100000,8,512,mixed,2000,520,1480,0,218.993,166.926,210.763,215.484,{}
6,100000,8,512,mixed,2000,520,1480,0,214.298,164.580,205.906,211.011,{}
7,100000,8,512,mixed,2000,520,1480,0,211.980,160.337,202.755,208.268,{}
8,100000,8,512,mixed,2000,520,1480,0,220.156,168.069,211.836,216.263,{}
9,100000,8,512,mixed,2000,520,1480,0,230.895,173.194,222.096,227.519,{}
10,100000,8,512,mixed,2000,520,1480,0,212.878,159.416,204.481,208.876,{}
1,100000,16,32,mixed,2000,48,1952,0,227.820,174.879,214.715,225.899,{}
2,100000,16,32,mixed,2000,48,1952,0,211.371,162.381,198.122,209.299,{}
3,100000,16,32,mixed,2000,48,1952,0,209.956,158.720,196.839,208.021,{}
4,100000,16,32,mixed,2000,48,1952,0,223.958,172.113,210.203,222.005,{}
5,100000,16,32,mixed,2000,48,1952,0,213.959,164.753,200.394,211.988,{}
6,100000,16,32,mixed,2000,48,1952,0,238.964,161.162,202.325,236.449,{}
7,100000,16,32,mixed,2000,48,1952,0,217.795,165.704,204.006,215.833,{}
8,100000,16,32,mixed,2000,48,1952,0,218.797,166.945,204.385,216.861,{}
9,100000,16,32,mixed,2000,48,1952,0,211.253,160.023,197.519,209.255,{}
10,100000,16,32,mixed,2000,48,1952,0,257.765,199.592,243.889,255.783,{}
1,100000,16,64,mixed,2000,80,1920,0,223.855,172.736,209.485,221.835,{}
2,100000,16,64,mixed,2000,80,1920,0,232.240,178.965,213.544,229.561,{}
3,100000,16,64,mixed,2000,80,1920,0,224.848,171.851,209.359,222.670,{}
4,100000,16,64,mixed,2000,80,1920,0,215.488,165.922,201.131,213.233,{}
5,100000,16,64,mixed,2000,80,1920,0,238.429,172.794,224.429,236.367,{}
6,100000,16,64,mixed,2000,80,1920,0,220.441,167.604,206.386,218.356,{}
7,100000,16,64,mixed,2000,80,1920,0,215.819,164.471,199.530,213.730,{}
8,100000,16,64,mixed,2000,80,1920,0,213.207,161.009,198.501,210.325,{}
9,100000,16,64,mixed,2000,80,1920,0,220.061,168.758,205.820,218.023,{}
10,100000,16,64,mixed,2000,80,1920,0,212.088,163.310,197.928,209.942,{}
1,100000,16,128,mixed,2000,144,1856,0,211.511,157.052,201.222,206.380,{}
2,100000,16,128,mixed,2000,144,1856,0,223.085,168.533,214.992,220.391,{}
3,100000,16,128,mixed,2000,144,1856,0,218.763,168.742,211.655,216.433,{}
4,100000,16,128,mixed,2000,144,1856,0,215.236,161.059,207.542,212.099,{}
5,100000,16,128,mixed,2000,144,1856,0,218.816,167.155,211.164,216.370,{}
6,100000,16,128,mixed,2000,144,1856,0,212.516,163.268,205.132,210.214,{}
7,100000,16,128,mixed,2000,144,1856,0,206.015,156.128,199.387,203.650,{}
8,100000,16,128,mixed,2000,144,1856,0,222.551,170.528,215.153,220.176,{}
9,100000,16,128,mixed,2000,144,1856,0,224.529,173.627,217.093,222.155,{}
10,100000,16,128,mixed,2000,144,1856,0,210.381,160.148,203.018,207.692,{}
1,100000,16,256,mixed,2000,272,1728,0,222.863,169.718,214.942,220.094,{}
2,100000,16,256,mixed,2000,272,1728,0,214.069,165.028,206.033,211.067,{}
3,100000,16,256,mixed,2000,272,1728,0,212.874,159.392,205.444,209.941,{}
4,100000,16,256,mixed,2000,272,1728,0,219.821,168.197,211.600,217.162,{}
5,100000,16,256,mixed,2000,272,1728,0,212.700,164.396,205.335,209.861,{}
6,100000,16,256,mixed,2000,272,1728,0,212.467,160.474,204.988,209.291,{}
7,100000,16,256,mixed,2000,272,1728,0,220.490,168.315,212.311,217.627,{}
8,100000,16,256,mixed,2000,272,1728,0,217.047,165.603,208.311,214.308,{}
9,100000,16,256,mixed,2000,272,1728,0,211.207,159.380,203.812,208.453,{}
10,100000,16,256,mixed,2000,272,1728,0,226.948,174.549,219.017,224.019,{}
1,100000,16,512,mixed,2000,528,1472,0,213.738,164.484,204.571,210.166,{}
2,100000,16,512,mixed,2000,528,1472,0,209.219,157.757,201.088,205.380,{}
3,100000,16,512,mixed,2000,528,1472,0,220.573,167.228,211.977,216.560,{}
4,100000,16,512,mixed,2000,528,1472,0,207.809,158.825,199.125,204.126,{}
5,100000,16,512,mixed,2000,528,1472,0,211.230,159.077,202.661,207.691,{}
6,100000,16,512,mixed,2000,528,1472,0,217.362,165.984,208.763,213.751,{}
7,100000,16,512,mixed,2000,528,1472,0,215.803,166.504,207.229,212.458,{}
8,100000,16,512,mixed,2000,528,1472,0,213.301,160.841,204.853,209.517,{}
9,100000,16,512,mixed,2000,528,1472,0,220.307,166.996,210.856,216.650,{}
10,100000,16,512,mixed,2000,528,1472,0,223.241,170.868,214.736,219.913,{}
1,100000,4,32,mixed,5000,36,4964,0,573.320,440.182,534.392,567.972,{}
2,100000,4,32,mixed,5000,36,4964,0,567.499,439.327,535.623,562.435,{}
3,100000,4,32,mixed,5000,36,4964,0,569.970,417.426,530.566,557.054,{}
4,100000,4,32,mixed,5000,36,4964,0,555.568,427.366,525.566,550.520,{}
5,100000,4,32,mixed,5000,36,4964,0,596.461,459.633,555.065,582.303,{}
6,100000,4,32,mixed,5000,36,4964,0,561.733,432.621,530.842,556.807,{}
7,100000,4,32,mixed,5000,36,4964,0,579.487,452.095,541.902,567.860,{}
8,100000,4,32,mixed,5000,76,4924,0,625.849,425.787,523.751,617.918,{}
9,100000,4,32,mixed,5000,36,4964,0,578.578,446.651,546.361,573.991,{}
10,100000,4,32,mixed,5000,36,4964,0,557.287,429.757,526.991,552.347,{}
1,100000,4,64,mixed,5000,68,4932,0,580.649,455.975,549.538,575.336,{}
2,100000,4,64,mixed,5000,68,4932,0,577.640,442.375,544.918,572.214,{}
3,100000,4,64,mixed,5000,68,4932,0,576.901,450.119,545.736,571.752,{}
4,100000,4,64,mixed,5000,68,4932,0,550.549,417.289,518.018,544.909,{}
5,100000,4,64,mixed,5000,68,4932,0,573.001,445.172,541.533,567.960,{}
6,100000,4,64,mixed,5000,68,4932,0,585.736,425.121,516.863,580.146,{}
7,100000,4,64,mixed,5000,68,4932,0,578.221,454.563,548.424,573.336,{}
8,100000,4,64,mixed,5000,68,4932,0,551.316,419.842,513.987,546.279,{}
9,100000,4,64,mixed,5000,68,4932,0,561.700,433.232,529.729,556.177,{}
10,100000,4,64,mixed,5000,68,4932,0,585.987,455.691,549.239,572.888,{}
1,100000,4,128,mixed,5000,132,4868,0,580.354,443.969,548.214,574.521,{}
2,100000,4,128,mixed,5000,132,4868,0,583.989,455.805,544.868,571.494,{}
3,100000,4,128,mixed,5000,132,4868,0,561.179,434.471,527.722,555.372,{}
4,100000,4,128,mixed,5000,132,4868,0,589.829,456.264,550.120,576.525,{}
5,100000,4,128,mixed,5000,132,4868,0,544.629,421.152,514.126,539.462,{}
6,100000,4,128,mixed,5000,132,4868,0,602.641,461.266,562.345,589.308,{}
